ep : ,1,    ,ep_step : ,43,    ,state : ,71483.842317,-8.192338,-25324.870567,0.865497,0.000443,1.046667,    ,"ecc,a,inc:",0.865497,51091.817905,20.74896,    ,"Reward,score : ",-0.003,82.8552,    ,    ,Normalized_State: ,0.551402,-6.3e-05,-0.195347,0.865497,0.000443,0.166582,    ,    ,action_values : ,2.875663,0.27,0.0,    ,    ,Mass : ,1198.5822491618708,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,44,    ,state : ,71483.842317,-8.192338,-25324.870567,0.865497,0.000443,1.221111,    ,"ecc,a,inc:",0.865474,51082.558807,20.748966,    ,"Reward,score : ",0.3084,83.1635,    ,    ,Normalized_State: ,0.551402,-6.3e-05,-0.195347,0.865497,0.000443,0.194346,    ,    ,action_values : ,2.851799,0.0295,0.0004,    ,    ,Mass : ,1198.5822491618708,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,45,    ,state : ,71482.936754,-8.165323,-25324.55637,0.865474,0.000417,1.395556,    ,"ecc,a,inc:",0.865446,51070.885209,20.748969,    ,"Reward,score : ",0.3896,83.5531,    ,    ,Normalized_State: ,0.551395,-6.3e-05,-0.195345,0.865474,0.000417,0.22211,    ,    ,action_values : ,2.543737,0.03,0.0004,    ,    ,Mass : ,1198.5789211291199,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,46,    ,state : ,71481.783328,-8.123564,-25324.150938,0.865446,0.000385,1.57,    ,"ecc,a,inc:",0.865413,51056.724323,20.748981,    ,"Reward,score : ",0.4651,84.0182,    ,    ,Normalized_State: ,0.551386,-6.3e-05,-0.195342,0.865446,0.000385,0.249873,    ,    ,action_values : ,2.604837,-0.0756,0.0004,    ,    ,Mass : ,1198.574607230147,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,47,    ,state : ,71479.896496,-8.288615,-25323.496976,0.865413,0.000333,1.744444,    ,"ecc,a,inc:",0.86537,51038.315249,20.749052,    ,"Reward,score : ",0.6082,84.6264,    ,    ,Normalized_State: ,0.551372,-6.4e-05,-0.195337,0.865413,0.000333,0.277637,    ,    ,action_values : ,2.200778,-0.0895,0.0004,    ,    ,Mass : ,1198.5687655378047,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,48,    ,state : ,71477.705113,-8.609752,-25322.803495,0.86537,0.000271,1.918889,    ,"ecc,a,inc:",0.865316,51013.830767,20.749258,    ,"Reward,score : ",0.7899,85.4163,    ,    ,Normalized_State: ,0.551355,-6.6e-05,-0.195331,0.86537,0.000271,0.305401,    ,    ,action_values : ,2.186553,-0.0869,0.0004,    ,    ,Mass : ,1198.5604633450844,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,49,    ,state : ,71473.7552,-9.146471,-25321.643521,0.865316,0.000166,2.093333,    ,"ecc,a,inc:",0.865258,50980.818203,20.750364,    ,"Reward,score : ",0.985,86.4013,    ,    ,Normalized_State: ,0.551324,-7.1e-05,-0.195323,0.865316,0.000166,0.333164,    ,    ,action_values : ,2.275109,-0.1733,0.0004,    ,    ,Mass : ,1198.5480170526891,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,50,    ,state : ,71464.971253,-11.074906,-25319.820877,0.865258,-3.4e-05,2.267778,    ,"ecc,a,inc:",0.865186,50938.29949,20.743134,    ,"Reward,score : ",1.5181,87.9195,    ,    ,Normalized_State: ,0.551256,-8.5e-05,-0.195308,0.865258,-3.4e-05,0.360928,    ,    ,action_values : ,2.02425,0.4312,0.0004,    ,    ,Mass : ,1198.5282407332998,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,51,    ,state : ,71452.945668,-2.25033,-25307.131124,0.865186,-0.00025,2.442222,    ,"ecc,a,inc:",0.865013,50896.892371,20.718671,    ,"Reward,score : ",2.4108,90.3303,    ,    ,Normalized_State: ,0.551164,-1.7e-05,-0.195211,0.865186,-0.00025,0.388692,    ,    ,action_values : ,1.352477,0.5429,0.0004,    ,    ,Mass : ,1198.4948926173038,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,52,    ,state : ,71466.230083,18.603716,-25283.291073,0.865013,-0.000217,2.616667,    ,"ecc,a,inc:",0.864673,50863.615623,20.632266,    ,"Reward,score : ",4.7524,95.0827,    ,    ,Normalized_State: ,0.551266,0.000144,-0.195027,0.865013,-0.000217,0.416455,    ,    ,action_values : ,1.08085,0.7477,0.0004,    ,    ,Mass : ,1198.435671058407,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
