ep : ,1,    ,ep_step : ,43,    ,state : ,67555.604944,-12.685438,-30341.714864,0.72904,0.000285,1.046667,    ,"ecc,a,inc:",0.72904,24438.491426,26.688324,    ,"Reward,score : ",-0.003,14.9397,    ,    ,Normalized_State: ,0.521101,-9.8e-05,-0.234046,0.72904,0.000285,0.166582,    ,    ,action_values : ,1.01227,-0.5073,0.0,    ,    ,Mass : ,449.77322783596713,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,44,    ,state : ,67555.604944,-12.685438,-30341.714864,0.72904,0.000285,1.221111,    ,"ecc,a,inc:",0.729037,24438.60103,26.68821,    ,"Reward,score : ",0.0095,14.9493,    ,    ,Normalized_State: ,0.521101,-9.8e-05,-0.234046,0.72904,0.000285,0.194346,    ,    ,action_values : ,0.986847,-0.5389,0.0002,    ,    ,Mass : ,449.77322783596713,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,45,    ,state : ,67556.094421,-13.198169,-30341.813866,0.729036,0.000301,1.395556,    ,"ecc,a,inc:",0.729039,24439.673409,26.688195,    ,"Reward,score : ",0.0171,14.9664,    ,    ,Normalized_State: ,0.521105,-0.000102,-0.234046,0.729036,0.000301,0.22211,    ,    ,action_values : ,0.607531,-0.1437,0.0002,    ,    ,Mass : ,449.7717398675342,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,46,    ,state : ,67557.269051,-13.404406,-30342.326154,0.729039,0.000336,1.57,    ,"ecc,a,inc:",0.729033,24440.30652,26.688185,    ,"Reward,score : ",0.0257,14.9921,    ,    ,Normalized_State: ,0.521114,-0.000103,-0.23405,0.729039,0.000336,0.249873,    ,    ,action_values : ,0.734486,0.0627,0.0002,    ,    ,Mass : ,449.76988057616404,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,47,    ,state : ,67558.839062,-13.272598,-30343.020372,0.729033,0.00038,1.744444,    ,"ecc,a,inc:",0.729039,24442.944005,26.687939,    ,"Reward,score : ",0.0556,15.0476,    ,    ,Normalized_State: ,0.521126,-0.000102,-0.234056,0.729033,0.00038,0.277637,    ,    ,action_values : ,0.159467,0.3421,0.0002,    ,    ,Mass : ,449.7674816909736,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,48,    ,state : ,67561.873803,-12.218983,-30344.125272,0.729038,0.000462,1.918889,    ,"ecc,a,inc:",0.729035,24445.883531,26.686902,    ,"Reward,score : ",0.1047,15.1523,    ,    ,Normalized_State: ,0.521149,-9.4e-05,-0.234064,0.729038,0.000462,0.305401,    ,    ,action_values : ,0.094453,0.5737,0.0002,    ,    ,Mass : ,449.7642848543848,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,49,    ,state : ,67566.275987,-9.64112,-30345.01054,0.729035,0.000574,2.093333,    ,"ecc,a,inc:",0.729003,24449.060479,26.684944,    ,"Reward,score : ",0.1956,15.3479,    ,    ,Normalized_State: ,0.521183,-7.4e-05,-0.234071,0.729035,0.000574,0.333164,    ,    ,action_values : ,0.201659,0.4677,0.0002,    ,    ,Mass : ,449.7598889552027,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,50,    ,state : ,67574.019907,-6.391304,-30346.425545,0.729003,0.000731,2.267778,    ,"ecc,a,inc:",0.728945,24452.058637,26.678188,    ,"Reward,score : ",0.3886,15.7365,    ,    ,Normalized_State: ,0.521243,-4.9e-05,-0.234082,0.729003,0.000731,0.360928,    ,    ,action_values : ,0.177504,0.8205,0.0002,    ,    ,Mass : ,449.75367424315647,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,51,    ,state : ,67584.302144,1.467554,-30343.923373,0.728945,0.000923,2.442222,    ,"ecc,a,inc:",0.728859,24458.006785,26.664818,    ,"Reward,score : ",0.7123,16.4488,    ,    ,Normalized_State: ,0.521322,1.1e-05,-0.234063,0.728945,0.000923,0.388692,    ,    ,action_values : ,-0.354933,0.8072,0.0002,    ,    ,Mass : ,449.74472087309357,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,52,    ,state : ,67601.532939,12.363262,-30337.560792,0.728858,0.001216,2.616667,    ,"ecc,a,inc:",0.728638,24464.723361,26.64224,    ,"Reward,score : ",1.2799,17.7287,    ,    ,Normalized_State: ,0.521455,9.5e-05,-0.234014,0.728858,0.001216,0.416455,    ,    ,action_values : ,-0.174536,0.7263,0.0002,    ,    ,Mass : ,449.7317952738288,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,53,    ,state : ,67634.094198,24.627732,-30328.346294,0.728636,0.001579,2.791111,    ,"ecc,a,inc:",0.728331,24470.136922,26.598824,    ,"Reward,score : ",2.0448,19.7734,    ,    ,Normalized_State: ,0.521706,0.00019,-0.233943,0.728636,0.001579,0.444219,    ,    ,action_values : ,-0.004361,0.9293,0.0002,    ,    ,Mass : ,449.7136345994409,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
